,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
Ottawa,Ottawa,GPE,0.10919540,0.31609195,en,2.90000000,4122012-2,6094817,X,45.41111100,-75.69805500,NORTH-AMERICA,Canada,ENA
United Kingdom,United Kingdom,GPE,0.47241379,1.05000000,en,2.90000000,4022153-2,2635167,X,54.75844000,-2.69531000,EUROPE,United Kingdom,NEU
Boston,Boston,GPE,-0.02236808,0.70489377,en,2.90000000,4007840-1,4930956,X,42.35833300,-71.05972200,NORTH-AMERICA,United States,ENA
Salt Lake City,Salt Lake City,GPE,0.25434692,1.01284222,en,2.90000000,,-1,,,,,,
Gurgaon,Gurgaon,GPE,0.05172414,0.27586207,en,2.90000000,4804200-6,1270642,X,28.46010000,77.02634900,ASIA,India,SAS
Argentina,Argentina,GPE,0.05495323,0.59148243,en,2.80000000,,-1,,,,,,
The United States,The United States,GPE,0.08928571,0.86964286,en,2.80000000,,-1,,,,,,
USA,USA,GPE,0.47619048,0.95714286,en,2.80000000,4078704-7,6252001,X,39.75999900,-98.50000000,NORTH-AMERICA,United States,CNA
D.C.,D.C.,GPE,-0.13490646,0.88653628,en,2.80000000,,-1,,,,,,
Dallas,Dallas,GPE,0.36784512,0.80701459,en,2.70000000,,-1,,,,,,
Caribbean,Caribbean,LOC,-0.74444444,1.32592593,en,2.70000000,,-1,,,,,,
NEW YORK,NEW YORK,GPE,0.32463524,0.93757015,en,2.70000000,,-1,,,,,,
Arctic sea,Arctic sea,LOC,0.53205128,1.50000000,en,2.60000000,,-1,,,,,,
Tamil Nadu,Tamil Nadu,GPE,0.33653846,0.45192308,en,2.60000000,4078142-2,1255053,X,11.00000000,78.00000000,ASIA,India,SAS
Tunisia,Tunisia,GPE,0.03552350,0.57478632,en,2.60000000,4061206-5,2464461,X,34.00000000,9.00000000,EUROPE-AFRICA,Tunisia,MED
Roebourne,Roebourne,GPE,0.19631410,0.34935897,en,2.60000000,,-1,,,,,,
Bay Area,Bay Area,LOC,-0.15384615,0.38461538,en,2.60000000,,-1,,,,,,
Perth,Perth,GPE,0.09245562,0.75443787,en,2.60000000,,-1,,,,,,
the United States',the United States',GPE,-0.04807692,0.71794872,en,2.60000000,,-1,,,,,,
Maryland,Maryland,GPE,-0.02918956,0.33424908,en,2.60000000,4037776-3,4361885,X,39.90000000,-76.74997000,NORTH-AMERICA,United States,ENA
Little Falls,Little Falls,GPE,-0.02918956,0.33424908,en,2.60000000,,-1,,,,,,
Zambia,Zambia,GPE,-0.23076923,0.44230769,en,2.60000000,4076986-0,895949,X,-15.00000000,30.00000000,AFRICA,Zambia,ESAF
Vermont,Vermont,GPE,-0.01923077,0.11538462,en,2.60000000,4063093-6,5242283,X,44.40000000,-72.74983000,NORTH-AMERICA,United States,ENA
Middle East,Middle East,LOC,0.08750000,0.22019231,en,2.60000000,,-1,,,,,,
Sea,Sea,LOC,-0.00641026,0.21794872,en,2.60000000,,-1,,,,,,
Barbados,Barbados,GPE,0.01153846,0.18076923,en,2.60000000,4004487-7,3374084,X,13.16666900,-59.53332900,CENTRAL-AMERICA,Barbados,CAR
Western Australia,Western Australia,LOC,0.04606227,0.45238095,en,2.60000000,,-1,,,,,,
Finland,Finland,GPE,-0.01282051,0.35897436,en,2.60000000,,-1,,,,,,
